order,id,date,time,title,url,visitCount,typedCount,transition
0,7,7/26/2023,18:15:56,Hehe - Tìm trên Google,https://www.google.com/search?q=Hehe&rlz=1C1GCEA_enVN1068VN1068&oq=Hehe&aqs=chrome..69i57j46i131i433i512j0i512j46i512j0i512l4j0i10i512j46i512.815j0j9&sourceid=chrome&ie=UTF-8,2,0,link
1,7,7/26/2023,18:15:55,Hehe - Tìm trên Google,https://www.google.com/search?q=Hehe&rlz=1C1GCEA_enVN1068VN1068&oq=Hehe&aqs=chrome..69i57j46i131i433i512j0i512j46i512j0i512l4j0i10i512j46i512.815j0j9&sourceid=chrome&ie=UTF-8,2,0,generated
2,6,7/26/2023,18:15:53,Dau - Tìm trên Google,https://www.google.com/search?q=Dau&rlz=1C1GCEA_enVN1068VN1068&oq=Dau&aqs=chrome..69i57j46i512l2j0i131i433i512j0i433i512j46i512j0i67i433i650j0i3j0i512j0i271.1003j0j9&sourceid=chrome&ie=UTF-8,2,0,link
3,6,7/26/2023,18:15:52,Dau - Tìm trên Google,https://www.google.com/search?q=Dau&rlz=1C1GCEA_enVN1068VN1068&oq=Dau&aqs=chrome..69i57j46i512l2j0i131i433i512j0i433i512j46i512j0i67i433i650j0i3j0i512j0i271.1003j0j9&sourceid=chrome&ie=UTF-8,2,0,generated
4,5,7/26/2023,18:15:51,Day - Tìm trên Google,https://www.google.com/search?q=Day&rlz=1C1GCEA_enVN1068VN1068&oq=Day&aqs=chrome..69i57j0i67i650j0i131i433i512j0i67i650j0i433i512j46i67i650j0i131i433i512j46i67i650j46i433i512j0i512.1599j0j9&sourceid=chrome&ie=UTF-8,2,0,link
5,5,7/26/2023,18:15:50,Day - Tìm trên Google,https://www.google.com/search?q=Day&rlz=1C1GCEA_enVN1068VN1068&oq=Day&aqs=chrome..69i57j0i67i650j0i131i433i512j0i67i650j0i433i512j46i67i650j0i131i433i512j46i67i650j46i433i512j0i512.1599j0j9&sourceid=chrome&ie=UTF-8,2,0,generated
6,4,7/26/2023,18:15:47,O - Tìm trên Google,https://www.google.com/search?q=O&rlz=1C1GCEA_enVN1068VN1068&oq=O&aqs=chrome..69i57j0i131i433i512j0i433i512j0i131i433i512j46i433i512j0i131i433i512l3j0i512j46i199i433i465i512.279j0j9&sourceid=chrome&ie=UTF-8,2,0,link
7,4,7/26/2023,18:15:47,O - Tìm trên Google,https://www.google.com/search?q=O&rlz=1C1GCEA_enVN1068VN1068&oq=O&aqs=chrome..69i57j0i131i433i512j0i433i512j0i131i433i512j46i433i512j0i131i433i512l3j0i512j46i199i433i465i512.279j0j9&sourceid=chrome&ie=UTF-8,2,0,generated
8,3,7/26/2023,18:15:46,Gi - Tìm trên Google,https://www.google.com/search?q=Gi&rlz=1C1GCEA_enVN1068VN1068&oq=Gi&aqs=chrome..69i57j0i67i650j46i199i465i512j0i67i650j46i433i512j0i433i512j0i512l2j0i433i512l2.495j0j9&sourceid=chrome&ie=UTF-8,2,0,link
9,3,7/26/2023,18:15:45,Gi - Tìm trên Google,https://www.google.com/search?q=Gi&rlz=1C1GCEA_enVN1068VN1068&oq=Gi&aqs=chrome..69i57j0i67i650j46i199i465i512j0i67i650j46i433i512j0i433i512j0i512l2j0i433i512l2.495j0j9&sourceid=chrome&ie=UTF-8,2,0,generated
10,2,7/26/2023,18:15:44,Co - Tìm trên Google,https://www.google.com/search?q=Co&rlz=1C1GCEA_enVN1068VN1068&oq=Co&aqs=chrome..69i57j0i131i433i512l2j46i131i433i512j0i433i512j0i512j46i199i465i512j0i433i512j46i131i433i512j0i512.679j0j9&sourceid=chrome&ie=UTF-8,2,0,link
11,2,7/26/2023,18:15:43,Co - Tìm trên Google,https://www.google.com/search?q=Co&rlz=1C1GCEA_enVN1068VN1068&oq=Co&aqs=chrome..69i57j0i131i433i512l2j46i131i433i512j0i433i512j0i512j46i199i465i512j0i433i512j46i131i433i512j0i512.679j0j9&sourceid=chrome&ie=UTF-8,2,0,generated
12,1,7/26/2023,18:15:42,Khong - Tìm trên Google,https://www.google.com/search?q=Khong&rlz=1C1GCEA_enVN1068VN1068&oq=Khong&aqs=chrome..69i57j0i512j46i512j0i131i433i512j0i512j0i3j46i175i199i512j0i512l2j0i3.15299j0j7&sourceid=chrome&ie=UTF-8,2,0,link
13,1,7/26/2023,18:15:41,Khong - Tìm trên Google,https://www.google.com/search?q=Khong&rlz=1C1GCEA_enVN1068VN1068&oq=Khong&aqs=chrome..69i57j0i512j46i512j0i131i433i512j0i512j0i3j46i175i199i512j0i512l2j0i3.15299j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
